"StoryType";"Pag";"N";"Url";"Schema";"Www";"Dominio";"Percorso";"Frammento";"Lunghezza";"tinyurl"
2;338;1;"tinyurl.com/3prdbmtr";"https://";"";"tinyurl.com";"3prdbmtr";"";20;
2;339;1;"tinyurl.com/mr43n6k4";"https://";"";"tinyurl.com";"mr43n6k4";"";20;
2;340;1;"https://books.google.it/books?id=NYA2AAAAMAAJ";"https://";"";"books.google.it";"books?id=NYA2AAAAMAAJ";"";45;
2;341;1;"https://ebiblio.istat.it/SebinaOpac.do";"https://";"";"ebiblio.istat.it";"SebinaOpac.do";"";38;
2;342;1;"https://maps.lib.utexas.edu/maps/historical/index.html";"https://";"";"maps.lib.utexas.edu";"maps/historical/index.html";"";54;
2;343;1;"https://maps.lib.utexas.edu/maps/historical/history_europe.html#I";"https://";"";"maps.lib.utexas.edu";"maps/historical/history_europe.html";"I";65;
2;344;1;"https://euratlas.net/history/europe/legend.html";"https://";"";"euratlas.net";"history/europe/legend.html";"";47;
2;345;1;"https://maphistory.info/confmnu.html";"https://";"";"maphistory.info";"confmnu.html";"";36;
2;346;1;"https://www.europeana.eu/portal/en/collections/maps";"https://";"www";"europeana.eu";"portal/en/collections/maps";"";51;
2;347;1;"tinyurl.com/2nkz426x";"https://";"";"tinyurl.com";"2nkz426x";"";20;
2;348;1;"https://it.wikipedia.org/wiki/Atlas_Tyrolensis";"https://";"";"it.wikipedia.org";"wiki/Atlas_Tyrolensis";"";46;
2;349;1;"https://it.wikipedia.org/wiki/Categoria:Cartografia";"https://";"";"it.wikipedia.org";"wiki/Categoria:Cartografia";"";51;
2;350;1;"https://en.wikipedia.org/wiki/Category:Cartography";"https://";"";"en.wikipedia.org";"wiki/Category:Cartography";"";50;
2;351;1;"https://it.wikipedia.org/wiki/Categoria:Liste_di_geografia";"https://";"";"it.wikipedia.org";"wiki/Categoria:Liste_di_geografia";"";58;
2;352;1;"https://it.wikipedia.org/wiki/OpenStreetMap";"https://";"";"it.wikipedia.org";"wiki/OpenStreetMap";"";43;
2;353;1;"https://wiki.openstreetmap.org/wiki/List_of_OSM-based_services";"https://";"";"wiki.openstreetmap.org";"wiki/List_of_OSM-based_services";"";62;
2;354;1;"https://palareti.eu/lavori/2006-Aica.pdf";"https://";"";"palareti.eu";"lavori/2006-Aica.pdf";"";40;
2;355;1;"https://palareti.eu/lavori/2007-Didamatica.pdf";"https://";"";"palareti.eu";"lavori/2007-Didamatica.pdf";"";46;
2;356;1;"https://palareti.eu/storiaviaemilia/index.html";"https://";"";"palareti.eu";"storiaviaemilia/index.html";"";46;
2;357;1;"https://www.quora.com/Why-do-many-teachers-not-recommend-Wikipedia/answer/Richard-Muller-3";"https://";"www";"quora.com";"Why-do-many-teachers-not-recommend-Wikipedia/answer/Richard-Muller-3";"";90;
2;358;1;"https://en.wikipedia.org/wiki/Reliability_of_Wikipedia";"https://";"";"en.wikipedia.org";"wiki/Reliability_of_Wikipedia";"";54;
2;359;1;"https://en.wikipedia.org/wiki/Wikipedia:Wikipedia_is_not_a_reliable_source";"https://";"";"en.wikipedia.org";"wiki/Wikipedia:Wikipedia_is_not_a_reliable_source";"";74;
2;360;1;"https://it.wikipedia.org/wiki/Sestiere_(Venezia)";"https://";"";"it.wikipedia.org";"wiki/Sestiere_(Venezia)";"";48;
2;361;1;"https://www.comune.venezia.it/it/content/superfici-amministrative";"https://";"www";"comune.venezia.it";"it/content/superfici-amministrative";"";65;
2;362;1;"https://it.wikipedia.org/wiki/Terzi_(Siena)";"https://";"";"it.wikipedia.org";"wiki/Terzi_(Siena)";"";43;
2;363;1;"tinyurl.com/2p985kax";"https://";"";"tinyurl.com";"2p985kax";"";20;
2;364;1;"https://it.wikipedia.org/wiki/Decreto_legislativo_18_agosto_2000,_n._267";"https://";"";"it.wikipedia.org";"wiki/Decreto_legislativo_18_agosto_2000,_n._267";"";72;
2;365;1;"https://www.comune.cesena.fc.it/elezioniquartieri2020";"https://";"www";"comune.cesena.fc.it";"elezioniquartieri2020";"";53;
2;366;1;"https://it.wikipedia.org/wiki/Circoscrizioni_di_Ancona";"https://";"";"it.wikipedia.org";"wiki/Circoscrizioni_di_Ancona";"";54;
2;367;1;"https://en.wikipedia.org/wiki/List_of_administrative_divisions_by_country";"https://";"";"en.wikipedia.org";"wiki/List_of_administrative_divisions_by_country";"";73;
2;368;1;"https://en.wikipedia.org/wiki/List_of_terms_for_administrative_divisions";"https://";"";"en.wikipedia.org";"wiki/List_of_terms_for_administrative_divisions";"";72;
